class,tweet
1,korykisling gotta get like heads go everyone brings tree bring food bitches liquor course
2,krbfarms cornfrmr homemade angel food yellow cake half inch chocolate frosting devil food die pecan pie
2,krbfarms cornfrmr gone dog ran coon transformer pole picked one shot still electricity
1,kristenbitess bi hday make sure tell bitch happy amp celebrate without drugs
2,kristynedwards penguins bird puppy bowl
1,kstar lol damn thought let know dad going super saiyan ape shit
1,ktkasey nooo lmfao bitch ya bitch
2,kummar king volunteer guinea pig help test
1,kuntimkeesh lmao nigga talking like bag bitches
0,kuntakayne never seen ignorant illiterate pieces shit life bring natl guard amp disperse trash bassem masri
2,ku busiek well pee oft yellow
1,kvrmaa trill studyfn vlzed says scrawny nigger
1,kxrxsxb samromero prairie nigger
1,kxrxsxb haha alright well gotta get see bitch haha scare shit outta already
1,kxrxsxb haha ready slap bitch came walkin room say hi playin saints underwear
1,kylereinders bitch
1,kyle monahan fuck bitch
1,l sernigga hotniggadarius bitches day time
0,l ltr p fucking losers wetbacks sorrynotsorry
1,l music salutemyrainbow ihea lots ass hoe
2,lcistj purpose charlie
1,lilbthebasedgod di ass nigga clean dick fucked bitch ass sucked dick omg lil b ready
2,lilnthebasedgod face ugly amp nudes trash
1,lltjae kolbyxdelce hoe
2,labugg fault sound like fucc nicca
1,laindiekid tneut riwhey say bitch selfiesonselfies http co fcmlvtigbl
1,ladyvodkax bare bitch see
1,ladyvodkax keep around new bitches know could next ex dont stay line
1,ladyvodkax talking fucking right pussy
1,ladyvodkax yer di pussy
1,lameassnerd pussy
1,lampreymilt delschilling loch woman deserves sole stomped like bitch everyone watching nada
2,lancethespoken statement day ppl chiefsatwar even dumber ole birds feather type deal
2,landroverusa disco used disaster recovery awesome brownie points well built extreme conditions
2,landonvanbus charlie day
1,lanebelgarde xdemery sick bitch didnt even invite
1,lanebelgarde shut bitch
1,latrobemark niggahs like im draggn nutts degree weather tgere frozed like bitch
1,laurenjauregui dumb bitch
1,laurenjauregui ur anal stfu u bitch
1,laurenlablue basically got room basic bitches
1,lebronvuitton ha got bitches worked
1,lelittlelisa bitch know seen tweet bout
1,lemochamojito bitch bye
1,lemochamojito bitch
1,leelucas alright nah bitch want play twitter
1,leelucas amp got cancer hoe
1,leelucas prettykells bitch feed asked buy burger
1,leelucas bitch nobody want
1,leelucas bitch bouta go waffle
1,leelucas bitch coming http co xdcuusba f
0,legionary jomavaesjos ebloa case texas kill niggers might safe
1,legoheeadd read voice like hoe
1,legsfordayyys fml half breed ex gym ugh
1,leighkillian nice pussy
0,leonbaptist idk mouthy spics welfare kids baby daddy
2,leoncountrybwoy big yute slits brows darg lol drop
1,leslieeeixta lettyguerrero haha noo bitch stop playing games hoe
2,lessthanjr yankees gave win happy bi hday
1,lessonswithkate jst fckn w always wanted jigg hella good jst wild enough circle cuz
0,levi page bend way queer thanks offer flattering
0,lexvan go back nigeria faggot
1,lexilanxon ratchet white trash
1,lexiluckersykes white bitch facebook lol
1,liamgeraldshone arannicolwhufc dsaend get real hair cut faggot served country marines years u done
1,liamgeraldshone arannicolwhufc dsaend ur fucking half breed dog stop acting
1,lickmywhooooop justdoitslow yall playful come dumb hoes
2,lifeasking like pair overpriced trash
2,lifeasking naw trash keep ya pity hugs
1,likewhatyousea booty wop sided hell
2,lilbthebiggsgod abbey kirkland two birds one stone biggs
1,lilkev j pussy
2,lilmissrightie hey teabagger benghazi thing joke benghazis bush hearings benghazi real attack
1,lilmrsspiffy bout try hoe next
1,lilreese right tavares kickin bitch curb dramatic
1,liltunechi reason rap pussy supposed talk smh bout make music negative
0,lil coon
1,lillian taylor apparently good luck chuck bitches
1,limitlessmudi yodeddyugly trash
2,linnlondon want clams half shell http co ufcajnnqtz
2,linzbella date colored men
1,lion gray roodawg mrfayoh khanye sas afoundation opinion matter cunt
1,lisadep well coast much see going bass fishing bunch rich rednecks either
1,lissette glz joshmtz hoes loyal
1,listsblacktwit ih tvvitterhoes rosaalbae nigga caping bitch like seen nudes already want tf
1,littlgfunk pussy whipped
1,littlenamms karon avila doin homework jiggaboo let
1,littlenamms nigga without warm traveled like bitch
1,littlenamms stick cou hoe
1,littlecbeadles bitch follow
1,liveitupjersey bellaafoxx hope bitch annoying think thought sma something
1,liveitupjersey cassandra bad boy six lol cyber bitch slap sure
1,liveitupjersey ccass lt lt go big mouth bitch busy choking cock told find
2,liveitupjersey ccass trash jersey odds last minutes around go back watching barney
2,liveitupjersey bwahaaaa choked oreo cookie figuring may something http co bgmypx
1,liveitupjersey breeding nation pussies hell man man pussy concerned pussies amp psycho
1,liveitupjersey yeah seen tweet bitch amp block used fits
1,liveitupjersey yeah try follow zulu looking bitches muslims flat way use sheets bed head
1,llishah lol acronym hoe
2,loldyrus retarded ignore harlem shake fad hope goes away soon
1,lovezanda everybody knw mis spell shit ion proof read shit let ah bitch call dumb ima back dey ass
0,lobst hinktank yeah people women laff set apa men love real niggas niggers
1,lobst hinktank bitch nobody wanting ass u assumed cuz u let dogs run yo filth amp u think want
0,lokihulibele mediacrooks aamaadmipa mix retards aap maoists terrorists congies delusional retards
1,longlivechris marvelcomicswag got pussy makes bad
1,longlivechris atlanta niggas nerdlifethuggin bay niggas gotta chill lawtooraw shitting hoes http co xa ing sc
1,lord fernandooo stfu nigguh reading manga longest know
1,lornalovesmatt delon aaryneliza poor poor parker nothing without aaryn bitch would even know around looser
1,louievree tehreelhov dat bitch tampon
2,lov tadaisha box full yellow crayons
1,lov tadaisha gotta keep hoes private
0,lovelesslovely kwitchabichen hey aklve im taking black ghetto trash youre blocked nigger
1,lovelyaumeri thought talm bout school wifi gon say ask bitch
1,lowworldsfinest stblock thomas man niggas chill man high af tho niggas even tell hoe
2,lucci dpc prove blissfully ignorant group thinker political chump race traitor
2,luckyl ft najmaaa ali yellow bone oh easy wit da name callin b
1,luis baez belle bitch
1,lukethetruth went iiiiiiinnnnnn hoe bro http co mh xxnu n
1,lunatic times omg mom christmas hostess year would slit throat
1,lupefiasco talibkweli name group called mob moaning old bitches
1,lupefiasco shut fuck cry baby bitch whine life shits retarded
1,lupefiasco uh oh gonna preach cry today faggot
1,lurk god fag
2,lvl eevee unicorncowboy hisorraya wanted brownies man
2,lvl eevee unicorncowboy hisorraya trade one car drift brownies
1,lvl eevee fake niggah fake
1,lymmanny shit gettin money fuckin hoes uk dat go lmaooooo
1,lynkinthedog wife bitches http co tvrczo oe
2,magnedeth seriously reason use mega whatsoever pure favoritism also sweet fuzzy wings
1,maniac x elchavaloko seems like weak faggot probably yea
1,maniac x almost enough rank buy stuff purple bitch buy exotic guy
1,maniac x buck beaners amp security sta ed pushing amp jetsgreen faggot around
1,marco naw polo slutty ass dykes
2,mc jaytee lol already made waiting brownies finish
1,mfoani nigga yes take ride bitch pleaseee
1,mikeb free world bitch
1,mikeb rams fags
1,mikeb want battle shook cause things half way crooks bitch
1,mikeb still free world bitch deserve area code
1,mikeymikerowave sneakerluke wojtata joecushkush yeah like im annoying ass bitch suppo dont bitch
1,mlg pollute gonna tell friend buy scuf dumb chink frail pussy
1,mollyx use coconut oil faggot
1,moniierozay shit sorry hoe
2,msoltan jordan junkies supposed grey speckled blue midsole soles yellow icy pass
2,msoltan koredeb suck tho mad trash carried always points
1,msoltan koredeb witches took hoe
1,msoltan matt simonson koredeb nvm thought talking fifa sorry matt trash zombies
1,mtbornnard got good mojo sure paybacks bitch
2,larson stevestreza saying zebras goth
1,carbonaro nice pussy
2,ragingbabe trying critical jr literally looks like ate pot brownie got couch put gloves
1,talleywacker miss ya fucker send txt every like ya used ill ya twat p
1,talleywacker yes touch bitch get ya shit knocked
1,macmiller lucky bitch ft juicy j
2,machell hope get better soon colds birds
1,mackwop u aint bout wop
1,madamecrystalb stop calling bitch crystal voice
1,madamecrystalb yes bitch
1,madamecurry kind hoe dressing
2,maddslander welcome back b without daily rants tl trash af
1,mademyselfher eeeeeeeee got hoes
2,mahnameisjared guest want bird think
1,mahdyymahd softestmuffin tee torahblaze like cure time u shut da fuck gettin folks bizness like lil bitch
1,makeitsndgood fewjr block us see happens think ya high yellow ass watch
0,makeanothahov faggot crybaby
1,makesamproud stfu hoe
1,mal dagladiator bitch fuck get mentions malzeno
1,manbeardrgn would funnier america pussy canada
1,mana lynn smiled first mugged course ima mugg back bitch lol
1,mannypacquiao thank proving bitch ass wrong tonight
1,marcsesslernfl ya games retard
1,marcsx lmaooo dj stranger danger im coon
1,marcfoor maniac mind gay shit u better ask bitch
1,marcfoor bitch get
1,marcfoor bring yo bitch ass whith em jump want get yo ass beat
1,marco sharkhoes hoe work til like
1,marco spatula stop looking porn fag
1,maria deamor bitch told hit got back
1,mariamyepii cuz bitches love cheesy
0,mariancristinax fag b
1,maricelabela stop bitchy bitch
2,mariejosegmh dwb seahopke zenterrorist tegenwoordig weet je ook al niet wat voor vlees je eet voor je weet zebra een aap
1,marilyn munster ha shyt niggas tell hoes ho wanna
1,marioolvera follow bitch lol u good follow back ha ha
2,markb lifestyle spo scenter athletics cant yankees make last weeks moves
0,markhalperin wsjopinion barackobama anything trash black president
1,markudall got pussy kicked done corygardner wins per fox news election tcot gop teapa p
1,marketwisenick many areas look need see bean count said beans bitch tend expect
1,marlin fishyass like se dom gas cause hit bitch one time ended talkin shit night bitch fried
1,marlon n gaines brown black ignorant stupidity makes sick typical thug looking nigger
1,marsdablackman thats hoes love relate lonely amp depressed lol
1,marshallsots jakeeye favorite fucking jam seen judging little girl probably trash
1,marshallsots tryna say pussy course tryna slam pussy duuuuuuu
1,ymard keep ya draws hoe
2,mathanugg mean one colored crayons copacetic
0,matthometeam know faggot literally thousands people radar homo
2,mattlacasse playoffs luckily means future kid definitely root yanks priorities
0,matt petrie geta life faggot
1,matt schiffer tcobryce nah bc bad bitch
1,mattyfatass pussy
1,mattyfatass pussy shit
1,mawdern wtf dude fucking retarded
1,maxdelacruz thx hoe
1,maxon maxoff di cunt mate lol missingtheaussies
1,max kellerman close could bitch going zip scorecards rightful mercy stoppage
1,maxin betha yea looks fag like
1,maxwell larsen mictorrance suck dick cunts
1,maxwell larsen good bitch
0,maxwell larsen cunt
2,mckinseey grass greener side fence course also soggy septic field
2,mclaffytaffy yankees football funniest pa latest video sincerely pittsburgh
2,mclaffytaffy reason order shi taffy know live would probably find stab
2,mcsheeti means trash lol
1,mcwilliamsbrett ayyy tell bitch avi needs fix flat dat flat ass
0,mcwilliamsbrett shut legs hoe
2,mdnate interested wanted see better pic soles
1,noindirect bitch fuck cut get snacks fat boys
1,noindirect bitch stop harassing
1,meechebadass killed hoe
1,meeeesh ajbernal bitch im always
1,meeeesh damn makin bitches jealous reality amp twitter facebook prolly mad bc pic posted wouldnt taken joke
1,meeeesh fuckin mom bitch like aint even payin dylan said fine
1,meekmill u really got coons dreaming
1,meeshdc fucked fucking retard condemning ray rice yet suppo ing chris brown women abuser logical
1,melissastetten lovin pussy pics
0,menachemdreyfus natlfascist waspnse shit ass shabbat moms pussy u jew bastard ur times coming heil hitler
2,meowmariss thought ghetto word babe
1,mergardolivia yaaaas bitch
1,meshia tweets oh bitch toooo far
1,methnotweed bitch look homeless u say meth weed ur fucking discrimination american enough bull shit fuk boy
1,michaelfraughto haha faggot
1,michaelgt little bitch
1,michaelsafady twat well twat son
1,michelleharnois dis bitch gots spunk
1,michellelevin pussy
1,michhelleashley truth dont love hoes
1,michhelleashley ass little twat
1,michhelleashley dont love hoes
2,mick peddicord thank mick
1,mickalabickham barely rhyme dumb bitch
1,mickalabickham bitch
2,midnight snacka nick u look like fat kid charlie walker got stuck chocolate tube
1,midnight snacka nick wigga fuck r u conversation yo stalking ass
1,midnight snacka bitch want yo fat ass following hoe
1,midnight snacka bitch dumb bitch sma er yo fat peter griffin looking ass
1,midnight snacka bitch r u going get ur round fucking said proving point
1,midnight snacka bitches like u proving point u speak shit u know nothing got fucking studio movie grill stfu
1,midnight snacka fuck stfu shit bout u stop little bitch get round cuz u avoiding question u fucking scarry
1,midnight snacka u calling pussy u bout shit fuck talking let pop shit
1,midnight snacka wow fucking lame laughing ya hey fat ass u want twinkie u said made sense go eat something
1,mids areforkids lmao im bein foreal fuck bitches like
2,midwestxpride learn first seconds flesh power holds death riff would cool bird lol
1,mig uel really telling call boo uhhh naw niggah amp
1,mightyy fw nigga pussy
1,mightyy well damn sure putting pussy ass romo jersey
1,mijo lgi heard bitch nigga
1,mijo lgi bitch
2,mika tan would perfect w graham cracker flavored bun maple dougnut bar
1,mikediggem phone dead fag man
2,mikeluckas oh pain meds made brain fuzzy though banjo kazooie sec
1,miketattaglia happy bi hday hope bitches got something good
1,mikethestatey sequester den fat colored girl chased day street swingin da table wit one arm wants pay
1,mike stud pussy
1,mike stud touch throbbing pussy
2,mikesgraffix malachidupre trash talk win championships boring dude nationalchamps
1,mikeydjaro haha would go fag colors reserved joeytaormina
0,milesm shut coon
1,mileycyrus transformed bad bitch get
1,mileycyrus want suck pussy
1,miley highrus shylooooeee slap bitch
1,militarytimes happens pussies presidents generals fight war
2,millercoors thanks follow guys enjoying cold yellow belly right
0,millerlite follow everything company white trash
0,mimistheone really seem love sandusky weirdo ur creepy ass cracker
0,mimistheone stop trolling u creepy ass cracker
2,minutemanx theyknownotwhat lt lt closet muzzie mayberryjustin allforcountry lilmissprepper ritzy jewels glinsan
1,mirdinero ugly bitch cdfu http co dokzmu f
2,miseducated mind free soul satan present u kingdom things mock u stay strong yahshua
2,misplaced momma hello dare momma show glad dat u follow u lbe screamin hot dem pitchers eva b wit colored men
0,misplaced momma say da hood white trash
0,misplaced momma whitey gots pay fo da preparations
1,missbrionline lanipopchicago realydotgdot mfn bi hday pink champaign dat bitch
1,misscleobb rachelereilly brendonvbb sucks rachels sister snobby bitch n rach nice cant stand elissa snutty
1,missjia sup nappy headed hoe got quiet
2,missmulgra sta making monkey faces behind
2,missrobinv pic red bone braids tiger back sale
2,missstef mariapetrova teabaggers weakening food environmental regulations infinitely scary lethal terrorism
2,missyankee spo steamnews looking royals wondering could decimate yankee farm system
1,miss didi lindnld klsouth shut nappy headed hoe
1,missyy j happy bi hday bitch
1,misterdimmadome spiked bitch damned nailed
2,misters look like monkey
1,mistressofsham area bitch regardless imagine
1,mitchtierney slings x arrows lady bitch
2,mitchvorce sheeze yellow bone
1,mizzcreme pussy tho
1,mmmprexton lol ive gotten retards actually think avi ive gotten called ugly black bitch like
1,mobilesuitkwamz thugging bitches hard days
1,moeeaseyamind bitches crazy
1,moenkiana working fag
1,moenkiana fine walk bitch
1,molly better bitch
0,montea rollin kayysavage serious bitch bitch niggas named fuccing witcho ass making shit
1,montea rollin kayysavage bitch ion talk shit ion even talk even name lol
1,montulos lakers trash
0,morbidmermaid swear god nigger better still hang work got hype
0,morbidmermaid work today niglet
1,morgaanita hahaha awe yea got date baddest bitch around
1,morganselae youngmoneykem matty kem got tits big hoe evens
1,morgansmith clint dempsey traeabn bitch said even like trae fuckin poser
1,morgansmith little bitch general fug seattle
1,morgansmith ohhhhhh smell challenge usa vs usa next time see ya bitch ass
1,morgansmith peace negro
1,morgansmith unfo unately correct sir still eat shit die though bitch
1,morgan savannah fucked bitch
2,morning joe nbc elected spokesman nbc lot trouble friends longer watch nbc trash
1,morning joe wonder many us citizens joined isis listening joe scarborough trash black president good job joe
1,morning joe bitch complain bad vets treated yet still willing send war sick idiot
1,mosoknowso shaegreyyy thats goddamn terrible joke gbe lookin bitch
1,motherofbraylon already know go fed ah bitch ready walk door
1,mr damngood u tink u done made funny nigga come lookatathehood gt got nightclubs trannies crackheads dealers come gt
2,mr damngood u gt nature biology gt dogs eat much birds everything seems human terms
1,mrcatloverx text bitch
2,mrfayoh im proud wacko bird bout
1,mrinfernushd squad builders gets bitches
1,mrmason grade pussy
1,mrmooncricket atblackface uncleunco bobbybotsods fuckthemallcops racistnegro bitch proud black ur samba
0,mrmooncricket atblackface uncleunco bobbybotsods fuckthemallcops racistnegro ugly gay nigga bitch fucking peace shit
0,mrmooncricket fuckthemallcops atblackface uncleunco bobbybotsods racistnegro coons n uncle toms
1,mrmooncricket fuckthemallcops jimtalbot theharris nigga seen yo ass da welfare center punk bitch wo h time
1,mrmooncricket fuckthemallcops jimtalbot theharris work something adults money borrow money broke bitch
0,mrmooncricket racistnegro fuck stupid ass coward ass punk bitch faggot ass racist piece shit punk bitch wo h time
1,mrmooncricket racistnegro rape course way could get pussy smh
1,mrmooncricket racistnegro rich haha u broke bitch women would ever fuck lol
1,mrmooncricket oh hell fuck uncle tom bitch remember yo punk broke ass
1,mrnwachukwu naw boys trash sta ed coasting
1,mrpoonsoaker lmao hella skinny bitches like
1,mrredma ian pic trash ck dry af
1,mrwoofless bitch
1,mr greatness send hoes nobody gone play geez lmao ask
1,mr lewis brookebrooklyn ohh yaa wants brooke pinkie toe bang coffee table twat lol
2,mr ritchie j us decided drink everclear go yankees game two made seat
1,mr rude fucking hate lmao thank little dick van dyke
2,mrszookeeper cornfrmr mary asked said pa eat white throw yellow away
1,mrste white hoes bro lol
1,mrste wake bake school hoe
1,mskeekee yh niggah yh shyt dope trust fam
1,msmyag yep bitches dumb af loyal dumb lol
1,ms marrie tipsy tried relate hoes mild sauce make relevant lol
1,ms marrie think need see said bitch question
1,mua becca yeah bitch eh life sucks everyone equal oppo unity lose shi divorce cou
2,murdaaamike yfly wow put slit trophies u
1,murphmcmahon swear thought describing pussy gotta go bed
1,mybuttsweats ay nigguh ya coming back
1,mykat meows know hoe less know congregate
1,mykat meows bitch
1,mykat meows blockhead hoe nothing boo
0,mynameshouldbe one problem theres pussies allowed sorry kerrythekilla
1,myalynn x bitch im sick
1,myalynn x freeze bitch
1,myalynn x mhm bitch play life
1,mymangot jobs lmao yes bitch
1,ncpostgrad bitch please
1,nflbadwitch bitch please get shot doug thejazzybelle
2,nflonfox random thought bird crossing path fg try impacted ball causing deflect course kick miss
2,ng thirsty giants always like ho ho ho
1,nickjspada averagexbishop rcummings making brownies tired bitch circumstances pretty good
1,nickjspada enxadasfelipe lindsey xoxo ik felt like bad bitch take notch dex
1,noaa ea hdaynoaa da colored folk allowed join cuz hood folk worried da watermelon growin da chicken small
1,notjohnross try respectful instead acting like fucking retard
0,ur bro niccol xo lmao nigga shoulda said would balless bc dat cold bitch wont stop blowin swaagg
2,ntxprogressive yeah cause anyone thinks clown went target buy oreos stupid look
2,nydnspo yankees ugh espo put one dead center stfrancisnews
2,nyrkelsmads dat damn dog eats betta den colored folk
1,nyrkelsmads dat dawg live betta den colored folk hood
2,nyrkelsmads wishin local takes da yankee game spoil
2,nyrkelsmads gots bein colored
1,nyrkelsmads yeah man even scare nigger
2,nyrkelsmads never survive da colored hood
1,nyrkelsmads darkmeathook dat colored guy braisin
0,nyrkelsmads danilonavarro hey fag said aunts said
2,nyrkelsmads davido iz barackobama likes da yankees
2,nyrkelsmads popup perfection brain crossed wires something dont know came concentration maybe ghetto one
1,nyrkelsmads pucksk r ware da colored elite meet eat
1,nyrkelsmads thanks calling fucking fag
1,nyrkelsmads pup like bitch awesome go home
1,ny nastybaby lil bitch man keep name mouth ima say shhh
1,nabilabuamirah redneck fuck turd cutter lyinest liars district made yhe
1,nadinelumley suck commie bitch hajihuntinggrl
1,naezus even piss colored paradox piece shit bought one smh hate
1,naiepolag may like stance cops would call cunt please stop copying tweets
1,naomidanielson like trailer trash chick would name cat
1,naramy nah shit gets heated sma est mouth know get called retard done playing games
2,nashgrier purple monkey
1,nasshrodriguez linndaroose always patty never pussy
1,nataiiaxxx ladygaga suck throbbing pussy
1,natashablah suck pussy
0,natlfascist waspnse jews white race traitors swept clean aryan race survive
1,natsukun already hot white bitch hot latina get level
1,naughtyboymusic bitch
1,nautiwashere bitches drippin sauce
1,naynooski kboavz one bobby bitch hot nigga
2,nazario feel see nothing wrong gta killing bc sole purpose game
2,ncoleycole u still mutt tho lol
2,ncoleycole u monkey bars lol
1,neeksbethatguy already bitch hahaha
1,neeksbethatguy signing ghetto fuck lmaoo
1,negroizzle anastasiapacana iheinz r lentlsstr ove ure trusted queer cakes wheres passion made dammit
1,nehmebazzi datboyrayt kids fag
1,neodaregularguy oil said sumthin bout oil bitch cookin
2,neontreezz pocbeauty white people selling african cool okay blackish redskins doublestandard
1,new dinero alright pussy
1,newscommenter gatewaypundit hell needs permission anything fat assed ghetto whore
0,newser big fucking deal cry baby niggers
1,nexusaltase fuck right pussy
1,nick drewbrees nigga still pull tho fuck bitch u stfu
1,nick bitch scarry backing fuck nigga fuck talking bout hoe ass nigga stop dat talking pull
1,nick fuck nigga gonna wanna see tell nigga stop acting like bitch
1,nick coffee bitch hit dm nigga aint dm back
2,nicoleadietrich chug pee
1,nicolejeanxoxo mitchellll hahahaha move bitch get wayyyeee
1,nicolejeanxoxo haha pussy lololol
0,nien nunb search gay redneck episode play
1,nigggapino bitch got amp trinna change
1,nikkigentry wait karma bitch
1,nikkinigro lucky bitch
1,nikki boo bitch hella late went yesterday lol
2,nipseyhussle nip im tryna buy copy crenshaw http co dblbyvx pl website let know something
1,niyas destani burnt tho jus like nicca
1,njzfinest bitch lol
1,nobeeetch iam webster faggot
1,nobeeetch faggot ass fucking snitch
2,nohazardnopa pibbzyx piersmorgan jim mclaren wait day take boon entire nation
1,noinfidel kindly fuck like said twice sound like little bitch bitching fuckin stalker
2,nomeatballs mtaraban excited red velvet brownie
2,nomeek justmilz trash yr waive lol
2,noshtickzone charlie brown christmas story rudolph island misfit toys
1,noshtickzone called pussy got blocked real quick bobby kelly cant say upset
1,noiseymusic comparison beatles bunch cunts band matters faces imo stones second
1,norahodonnell dishing texas trash talking pts racist jdickerson maybe gbush apologize sins hiding
1,noreigastacks forced lol mad bitches came mind thru every bar
2,notevanlarkin bbcollins birds feather flock together
1,notevanlarkin facetime nigger
1,notevanlarkin hope love dat bitch
1,notreallygryan think cause saw biceps lmao jk im still bitch
1,notoriousbm buckm se fucking stupid crackers
1,notoriousbm maniac x fucking creepy ass nigguh lmao
0,notoriousbm gezus rodriguez getting blocked faggot
2,notsosweetpea like brownies
2,notsosweetpea soo hanging makin brownies
1,noworriezzzz basically mad hoes
1,nreid lmaoo pussy call cops also wanted find yu would gonna waste time
1,nubianreine women getting money hoes gone come sound gay rather make money anyday
1,numbersdnt lie yeah hoes straight ima grab light blue pair
1,nurbstheocho tori mills dykes anything
0,nyjusdntgaf like nig come home ever want
1,nyjusdntgaf one cares nigger
1,nyjusdntgaf late niggers died first
1,nyjusdntgaf nigger
1,millz xdsmooth idk gave bitch name
1,millz bitch tellin
1,millz white bitch
1,oddbeast bitch get yo duck ass shit
2,og dakota lemme throw tranny
0,og harm moetza duckydynamo look nigger ass nigger shit right
1,ole ybstard thereal emandm holt lay brother honky
1,ole ybstard yankee noodle fucking awesome ya bastard
1,ole ybstard let honky know man lol
2,omfgitsoscar basic trash
1,omg itsbrooke hey hoe
1,omgitskaric ima call retarded ass
1,otg kapo thats call lol beyond ghetto smh man u needa quit playin come back
1,oubad know countryass old bitch tn ur back
1,ovomar thanks invite tho bitch
0,ovotiluoverdose flossinlawson niggers
1,ovotiluoverdose building pussy lmao
1,shititslaura haha cool hoes lmao jk got repo ed supposedly fake account
1,beknowing bitch took phone
1,angelis yep messier dangerous environmentally unfriendly retarded new spouts innov bgr
2,officialccane naah da twitter bird
0,officialskai dont tell fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot
0,officialskais kill ugly ass monkey looking shit
1,official dcole gonna years old bitches watch lol
1,ohaistepj smelly hater bitch
1,ohhhchad come desperate hoes
2,oltimebaseball yankees pauloneillyes matters
2,oldmanro check aint animated charlie murphy
0,ole boy eezy yes white washed go around repping hood saying bunch ignorant nig terms
1,oleanderplume joke say oleander wife say son bitch ron yes hell get book
1,olivialuu calm little asian lol go flip bitch
1,omgitstamz ho korina craycray
1,onthiscloud fuck bitch
1,point prg fempop wendydavistexas take picture pussy hope super sized huge grand canyon size
1,point prg wendydavistexas gregabbott tx boy talk special kind stupid far left statement retarded
1,point prg another keyboard commando real life hide like little bitch
1,onlyhiphopfacts get head hoes overbites schoolboyq
1,opalrose ursoul duckydynamo trethreat band negro
1,oprahsidenigga toinfinite exotic bitches exotic things hoes aint loyal
1,optimusodd mine say intimidator cause bitches handle
1,orangeone steveworks biggest liars ever republican teabagger asshats like stockboy pinoccio
1,oreo nhl u zoom see hairy nipples
2,originvlepic trash
1,oskzilla yaseenxkahn sleep niggah lol
1,oskzilla bitch slap shadow realm
1,oskzilla come draw paint niggah
0,oskzilla fuck fag
0,oskzilla fuck niggah gay lol
1,oskzilla go sleep fag
1,oskzilla san diego niggah
1,oskzilla niggah gay
1,oskzilla fair still faggot
1,oskzilla wish niggah
1,osvaldovause kik u nigglet need know outs pool
1,osvaldovause text u nigglet
1,ottawapolitico fucking muzzie edict come feds prov govt
1,ourcofe end ordination women faggots whose aim weaken split communion
1,outterspaceswag chipchipperson chippah hopes hangin wit dis wigger boy
1,oxy jon conleyfanclub one charlotte store course faggots
1,oz lito bitch ah mintue cdfuuuu
2,pcmag overpriced complete trash even debatable
1,pdaburei bitch nigga
1,perro bitch tits
1,proseish know pussy ass coward weaker smaller like gz
1,proseish send pussy ass cowards old sparky
1,proseish yeah george zimmerman pussy ass coward
2,pwilliamsd need clams half shell get deep fried clam necks
1,pablomucholive hoe housewife
0,pablyandrew paul mcca ney faggot
1,pacdagoat neck titties pussy
1,pactha mac imma shoot bitch
1,pacific tomb yeah us crackers devil
1,pacman dre sb said something gorilla stop listening monkey music
1,paid dues yeah see son bitch owes money tell looking
1,paixj right hoes loyal
1,pamschep bitch idiot troll spamblocked keep spewing ur shit calfreedommom ralphyboyusa abc scottddolan
1,pandah pooh put money pussy
2,param nster twitter bird shaped pancakes would sta
1,parhambryce lllexiss lukejohnson laurenbeckkkk alright calling pussy also
0,patdollard fuckin muzzie cunts depo ed savages
1,patchy beard g hos rush mean clearly likes pa
0,patriotsorg screw ragheads
1,pattty b called bitch ass
1,paulconroy habeshasuperman oh coming little bitch u veto thrill watch
0,paulmoon yurista life justinmiculka fuckin yankees months meet pussy
2,paulyy nah honkey lookin dude chr
0,pecan b obeymy realness dryer bad ass eyes fag
1,penguingraham yup like straight bitch
1,pennythegoat biebs getting fucked right pussy
1,pennythegoat look like little baby son bitch http co go ct ue
1,pennythegoat right pussy
2,pepper redbone yankees mets exactly folks favor get lovely old stadium
2,pepper redbone yankees mets miss nyc nashville needs pro al team closest kc tampa pretty bad south nl
2,pepper redbone yankees mets miss pizza passion
2,pepper redbone yankees mets oh yeah annoying damn duck calls outta banned duck horns
2,pepper redbone yankees getting hope cause stunk last night
1,perezhilton whole bunch trash needs jus go away r jus trash
1,perezhilton omg ppl gonna bitch
2,persianboi ryantburnss hahaha chunky goalkeeper makes save stomach
2,pete prefer zebra visually know lesser costs
2,peterclifford penny g angrybravehea sheikhkhalifapm love h birds used feed lived wa state hv mtn ore
2,phantomgourmet someone gave nip baileys irish cream coffee use suggestions
2,philhecken understand weak give anything jeter astros barely history yankees
1,piercethetit xenoss love hoes
1,pimpbillclinton tareksaadmisr arabic one pussy gettin motha fucka
1,pinchsuckblow lmoa high giraffe pussy
2,pinche escobar make yellow chompers candyass
1,pinkchocolatebk thought beyond retarded scary
1,pipe tyson nigga pussy got hands dawg
2,plannedsickdays hey screen shot djk wiki page updated regarding trash incident
1,plasticdom plz go starbucks ebola sounds like really ghetto hood name tbh
1,pnolia jay shut bitch nigga
0,po pdogg back faggot
1,poffalicious hell man retarded good situps run weak tho
1,pohlman look like mike vick bitch
1,police tactgear icle flawed took first chp brpd well done even ghetto gals jammy hi purnt well done
2,powlengmawi yung nakalagay sa second page ng handout na may closed ended questions etc tapos lalagay sa yellow pad
1,pravikingdino bitch
1,pravikingdino like men faggot
0,prayforjack new york niggas quick take bitch public boy lol
1,pretty warzone shouldve caught first time nigger
